,movieId,title,genres,imdbId,tmdbId,"('count', 0.5)","('count', 1.0)","('count', 1.5)","('count', 2.0)","('count', 2.5)","('count', 3.0)","('count', 3.5)","('count', 4.0)","('count', 4.5)","('count', 5.0)",total_count,percent_0.5to1,percent_4.5to5,percent_polarity,total_tails,Cluster,Plot
0,56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,tt0113541,124057.0,4.0,33.0,2.0,15.0,2.0,11.0,2.0,12.0,0.0,2.0,83.0,0.4457831325301205,0.024096385542168683,0.4216867469879518,0.4698795180722892,1,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil sabres and plastic armor. The summer fun and fantasy soon become a marvelous, mystical reality with the touch of a sword. Malcolm McDowell, Michael Ironside and bright newcomer Johnny Morina star in a modern-day adventure filled with medieval magic. One fateful afternoon, Alex comes across a sword sunk in stone - King Arthur's legendary Excalibur! The sword holds untold powers of strength, magic and wisdom. With one motion, Alex frees the sword, Merlin the Magician appears, and Alex discovers the awesome power he'd always dreamed about. But to misuse Excalibur is to lose Excalibur... as Alex soon discovers. Now with Merlin vanished, Alex must prove himself worthy of the sword to bring back the magic. He'd better act fast - his friends need his power now more than ever!"
1,181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,tt0113820,9070.0,310.0,970.0,99.0,534.0,130.0,602.0,81.0,159.0,24.0,92.0,3001.0,0.4265244918360547,0.03865378207264245,0.3878707097634122,0.4651782739086972,1,"Six teenagers Tommy, Kimberly, Adam, Billy, Rocky and Aisha have discovered the power to fight the forces of evil. A giant egg is unearthed in Angel Grove. Lord Zedd and Rita Repulsa investigate the egg, and release the creature inside - Ivan Ooze, whom Zordon had trapped him inside the egg six thousand years ago. Once released, Ooze left to seek revenge on Zordon. And now Zordon in his crystalline deathbed is dying because he has no power, without the power then Zordon of Eltar will never existed. Now the fate of the universe is in their hands. But this time the Power Rangers head for a distant planet to meet up with a bikini-clad warrior babe named Dulcea who imparts ancient wisdom and power. But now that they have their powers back and becomes Power Rangers once more they will now get back to business and defeat Ivan Ooze at all costs."
2,286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,tt0113948,63105.0,8.0,38.0,3.0,30.0,2.0,18.0,2.0,8.0,0.0,5.0,114.0,0.4035087719298245,0.04385964912280702,0.35964912280701755,0.4473684210526315,1,"It has been 73 years since Alex failed and the Humans lost the Cyborg Wars. Since then, the Humans have been enslaved. Scientists have developed a new DNA strain, which could signal the end of the Cyborgs, and they inject it into a volunteer. When the Cyborgs learn of the woman and the baby they list both for termination. To escape, she takes a stolen Cyborg ship and transports back in time to East Africa in 1980, where the mother is killed, but the baby is saved. It takes 20 years, but the Cyborg bounty hunter Nebula finally locates the girl, named Alex, and travels back in time to terminate her."
3,591,Tough and Deadly (1995),Action|Drama|Thriller,tt0114706,80350.0,0.0,14.0,1.0,9.0,0.0,8.0,0.0,3.0,0.0,1.0,36.0,0.3888888888888889,0.027777777777777776,0.3611111111111111,0.4166666666666667,1,"Elmo Freech is a private investigator and was contracted by John Portland, a CIA agent who suffers amnesia, in oder to reveale a dubious case of drug smuggling in which are involved big fishes of the CIA and from Washington."
4,810,Kazaam (1996),Children|Comedy|Fantasy,tt0116756,11511.0,292.0,732.0,97.0,344.0,92.0,379.0,45.0,103.0,3.0,71.0,2158.0,0.4745134383688601,0.03429101019462465,0.4402224281742354,0.5088044485634847,1,"Being a lone young boy in the 'hood"" is dangerous and unpleasant. This is what Max experiences when he fools a gang of local toughs who cornered him at school. The gang finds out that the key he gave them is of no value in committing a robbery, and they chase him through the streets of his neighborhood, bent on revenge. He tries to escape by slipping into the open door of an old warehouse, but they follow him there, too. While running from them through aisles filled with all kinds of stuff, he bumps into an old boom box. By doing that, he manages to release Kazaam, a genie who has been held captive for thousands of years. In order to stay free, Kazaam must give Max three wishes."
5,1322,Amityville 1992: It's About Time (1992),Horror,tt0103678,41671.0,28.0,138.0,7.0,52.0,10.0,46.0,6.0,12.0,1.0,9.0,309.0,0.5372168284789643,0.032362459546925564,0.5048543689320388,0.5695792880258899,1,"When an old clock arrives at home as a gift, strange things begin to happen. The family that proudly assigned a privileged place to the clock in the living room, is unaware that this thing is a link to an old and evil house..."
6,1323,Amityville 3-D (1983),Horror,tt0085159,27214.0,48.0,203.0,24.0,96.0,8.0,50.0,4.0,17.0,1.0,8.0,459.0,0.5468409586056645,0.0196078431372549,0.5272331154684096,0.5664488017429194,1,"A man who is separated from his wife moves into the infamous Amityville House. Their daughter dies in a boating accident (after being told that she is not allowed to go to the house) and now the mother sees her deceased daughter ""alive"" in the house. Mr. Baxtor calls a paranormal investigator in to help and the investigator finds out the source of the household problems."
7,1324,Amityville: Dollhouse (1996),Horror,tt0115535,52263.0,18.0,117.0,2.0,45.0,10.0,35.0,3.0,13.0,1.0,9.0,253.0,0.5335968379446641,0.03952569169960474,0.4940711462450593,0.5731225296442688,1,"A dollhouse that is a replica of the infamous Amityville haunted house is given to a little girl. Soon after, all sorts of horrible unexplained accidents start to happen. The family must work together to fight off the terrifying evil that has inhabited their lives."
8,1325,Amityville: A New Generation (1993),Horror,tt0106262,33519.0,32.0,129.0,8.0,56.0,4.0,46.0,4.0,12.0,1.0,5.0,297.0,0.5420875420875421,0.020202020202020204,0.5218855218855218,0.5622895622895623,1,"Photographer Keyes is given an old mirror from an homeless person he photographs on the street, takes it home and gives it a friend. He doesn't know yet that people see horrible things happen to themselves in the mirror and later these things come true. Are these really suicides or is there a demonic force behind the mirror?"
9,1326,Amityville II: The Possession (1982),Horror,tt0083550,16235.0,31.0,222.0,26.0,136.0,29.0,130.0,18.0,27.0,4.0,16.0,639.0,0.3959311424100157,0.031298904538341166,0.3646322378716745,0.4272300469483568,1,"An Italian-American family move into a house built on an ancient Indian burial ground. The oldest son is possessed by an evil spirit, and is forced to murder his family. The family's priest feels responsible, and tries to save the possessed boy's soul."
10,1328,"Amityville Curse, The (1990)",Horror,tt0099030,41848.0,23.0,125.0,9.0,45.0,8.0,50.0,4.0,15.0,0.0,13.0,292.0,0.5068493150684932,0.044520547945205484,0.4623287671232877,0.5513698630136986,1,"Five people spend the night in an abandoned house, the Amityville haunted house, and soon find themselves terrorized by assorted ghosts, venomous insects and ghostly apparitions."
